#Source Donnelly 1998 https://doi.org/10.1063/1.556028
#Specific heat at SVP
#Temperature (K)	heat capacity (J/(kg K))
0	0
0.05	0.0025558374
0.1	0.0206115922
0.15	0.0705541046
0.2	0.164817786
0.25	0.3165440881
0.3	0.5426470081
0.35	0.8571923963
0.4	1.2706734269
0.45	1.8003288861
0.5	2.4831347209
0.55	3.395291363
0.6	4.6894495131
0.65	6.6581688612
0.7	9.7911308694
0.75	14.7429097372
0.8	22.4254122693
0.85	34.0028811258
0.9	50.7170085859
0.95	73.6021218198
1	103.7824894906
1.05	142.5822502462
1.1	191.3255427345
1.15	251.3365056031
1.2	324.0392124923
1.25	411.2324932631
1.3	513.9156978386
1.35	633.8376885836
1.4	772.4974903825
1.45	932.3934780425
1.5	1116.2738638516
1.55	1327.386535059
1.6	1570.2285663176
1.65	1849.0471947998
1.7	2168.0896576777
1.75	2533.3520544886
1.8	2950.5806472889
1.85	3427.7702354618
1.9	3972.4159434288
1.95	4599.508020033
2	5316.5415896959
2.05	6143.5036508751
2.1	7155.3454477862
2.15	9216.5046637163
2.176	13913.4493012296
2.1761	14048.3615408177
2.1762	14220.7494025137
2.1763	14450.599884775
2.1764	14755.4016112519
2.1765	15160.1383300163
2.1766	15697.2889135617
2.1767	16589.2087197278
2.1769	11415.0744940416
2.177	10560.6303099834
2.1775	8851.7419418668
2.178	8154.6953706614
2.2	4179.7810524254
2.25	3068.0042632268
2.3	2693.2480421486
2.35	2500.8731819951
2.4	2377.2036290393
2.45	2304.7507596309
2.5	2269.2738373688
2.55	2259.28033814
2.6	2265.0266001966
2.65	2277.7683117132
2.7	2295.0070978828
2.75	2316.2432837439
2.8	2341.976544258
2.85	2371.7072044635
2.9	2405.4352643605
2.95	2442.9108864684
3	2484.3839082677
3.05	2528.3553048742
3.1	2578.3228010179
3.15	2630.7886719689
3.2	2685.752917727
3.25	2745.7139130995
3.3	2808.1732832792
3.35	2875.6294030733
3.4	2943.0855228674
3.45	3015.5383922758
3.5	3090.4896364915
3.55	3167.9392555143
3.6	3247.8872493443
3.65	3330.3336179815
3.7	3412.7799866187
3.75	3500.2231048703
3.8	3590.1645979291
3.85	3685.1028406022
3.9	3780.0410832753
3.95	3882.47445037
4	3987.4061922719
4.05	4097.3346837882
4.1	4214.758299726
4.15	4337.1786652782
4.2	4467.094155252
4.25	4597.0096452258
4.3	4746.9121336571
4.35	4896.8146220883
4.4	5071.7008585915
4.45	5246.5870950947
4.5	5446.4570796697
4.55	5646.3270642447
4.6	5896.1645449635
4.65	6195.9695218261
4.7	6520.7582467605
4.75	6945.4819639824
4.8	7445.15692542
4.85	8044.7668791451
4.9	8819.2630693734
4.95	9818.6129922486
5	11167.73538813
