#T(K) viscosity SVP(Pa*s)	viscosity 4.4atm(Pa*s)	Source: Donnelly (SVP) and Goodwin (4.4atm), polynomial fit between 2.15 and 2.3K
0.8	1.58E-005	1.58E-005
0.85	9.54E-006	9.54E-006
0.9	6.29E-006	6.29E-006
0.95	4.81E-006	4.81E-006
1	3.87E-006	3.87E-006
1.05	3.03E-006	3.03E-006
1.1	2.39E-006	2.39E-006
1.15	1.98E-006	1.98E-006 #down to this value the Goodwin values are replaced by the Donnelly ones, and there is no pressure dependance (which might not be correct, I simply couldn't find data below 1.2K)
1.2	1.74E-06	1.78E-06
1.201	1.74E-06	1.78E-06
1.202	1.73E-06	1.78E-06
1.203	1.73E-06	1.78E-06
1.204	1.73E-06	1.77E-06
1.205	1.72E-06	1.77E-06
1.206	1.72E-06	1.77E-06
1.207	1.72E-06	1.77E-06
1.208	1.71E-06	1.76E-06
1.209	1.71E-06	1.76E-06
1.21	1.71E-06	1.76E-06
1.211	1.70E-06	1.76E-06
1.212	1.70E-06	1.75E-06
1.213	1.70E-06	1.75E-06
1.214	1.69E-06	1.75E-06
1.215	1.69E-06	1.75E-06
1.216	1.69E-06	1.74E-06
1.217	1.68E-06	1.74E-06
1.218	1.68E-06	1.74E-06
1.219	1.68E-06	1.74E-06
1.22	1.67E-06	1.73E-06
1.221	1.67E-06	1.73E-06
1.222	1.67E-06	1.73E-06
1.223	1.66E-06	1.73E-06
1.224	1.66E-06	1.73E-06
1.225	1.66E-06	1.72E-06
1.226	1.66E-06	1.72E-06
1.227	1.65E-06	1.72E-06
1.228	1.65E-06	1.72E-06
1.229	1.65E-06	1.72E-06
1.23	1.65E-06	1.71E-06
1.231	1.64E-06	1.71E-06
1.232	1.64E-06	1.71E-06
1.233	1.64E-06	1.71E-06
1.234	1.64E-06	1.71E-06
1.235	1.63E-06	1.70E-06
1.236	1.63E-06	1.70E-06
1.237	1.63E-06	1.70E-06
1.238	1.63E-06	1.70E-06
1.239	1.62E-06	1.70E-06
1.24	1.62E-06	1.70E-06
1.241	1.62E-06	1.69E-06
1.242	1.62E-06	1.69E-06
1.243	1.61E-06	1.69E-06
1.244	1.61E-06	1.69E-06
1.245	1.61E-06	1.69E-06
1.246	1.61E-06	1.69E-06
1.247	1.61E-06	1.68E-06
1.248	1.60E-06	1.68E-06
1.249	1.60E-06	1.68E-06
1.25	1.60E-06	1.68E-06
1.251	1.60E-06	1.68E-06
1.252	1.60E-06	1.68E-06
1.253	1.59E-06	1.67E-06
1.254	1.59E-06	1.67E-06
1.255	1.59E-06	1.67E-06
1.256	1.59E-06	1.67E-06
1.257	1.59E-06	1.67E-06
1.258	1.59E-06	1.67E-06
1.259	1.58E-06	1.67E-06
1.26	1.58E-06	1.66E-06
1.261	1.58E-06	1.66E-06
1.262	1.58E-06	1.66E-06
1.263	1.58E-06	1.66E-06
1.264	1.58E-06	1.66E-06
1.265	1.57E-06	1.66E-06
1.266	1.57E-06	1.66E-06
1.267	1.57E-06	1.66E-06
1.268	1.57E-06	1.65E-06
1.269	1.57E-06	1.65E-06
1.27	1.57E-06	1.65E-06
1.271	1.57E-06	1.65E-06
1.272	1.56E-06	1.65E-06
1.273	1.56E-06	1.65E-06
1.274	1.56E-06	1.65E-06
1.275	1.56E-06	1.65E-06
1.276	1.56E-06	1.64E-06
1.277	1.56E-06	1.64E-06
1.278	1.56E-06	1.64E-06
1.279	1.56E-06	1.64E-06
1.28	1.55E-06	1.64E-06
1.281	1.55E-06	1.64E-06
1.282	1.55E-06	1.64E-06
1.283	1.55E-06	1.64E-06
1.284	1.55E-06	1.64E-06
1.285	1.55E-06	1.63E-06
1.286	1.55E-06	1.63E-06
1.287	1.55E-06	1.63E-06
1.288	1.54E-06	1.63E-06
1.289	1.54E-06	1.63E-06
1.29	1.54E-06	1.63E-06
1.291	1.54E-06	1.63E-06
1.292	1.54E-06	1.63E-06
1.293	1.54E-06	1.63E-06
1.294	1.54E-06	1.63E-06
1.295	1.54E-06	1.62E-06
1.296	1.53E-06	1.62E-06
1.297	1.53E-06	1.62E-06
1.298	1.53E-06	1.62E-06
1.299	1.53E-06	1.62E-06
1.3	1.53E-06	1.62E-06
1.301	1.53E-06	1.62E-06
1.302	1.53E-06	1.62E-06
1.303	1.53E-06	1.62E-06
1.304	1.53E-06	1.62E-06
1.305	1.52E-06	1.61E-06
1.306	1.52E-06	1.61E-06
1.307	1.52E-06	1.61E-06
1.308	1.52E-06	1.61E-06
1.309	1.52E-06	1.61E-06
1.31	1.52E-06	1.61E-06
1.311	1.52E-06	1.61E-06
1.312	1.52E-06	1.61E-06
1.313	1.51E-06	1.61E-06
1.314	1.51E-06	1.61E-06
1.315	1.51E-06	1.60E-06
1.316	1.51E-06	1.60E-06
1.317	1.51E-06	1.60E-06
1.318	1.51E-06	1.60E-06
1.319	1.51E-06	1.60E-06
1.32	1.51E-06	1.60E-06
1.321	1.50E-06	1.60E-06
1.322	1.50E-06	1.60E-06
1.323	1.50E-06	1.60E-06
1.324	1.50E-06	1.60E-06
1.325	1.50E-06	1.59E-06
1.326	1.50E-06	1.59E-06
1.327	1.50E-06	1.59E-06
1.328	1.50E-06	1.59E-06
1.329	1.49E-06	1.59E-06
1.33	1.49E-06	1.59E-06
1.331	1.49E-06	1.59E-06
1.332	1.49E-06	1.59E-06
1.333	1.49E-06	1.59E-06
1.334	1.49E-06	1.59E-06
1.335	1.49E-06	1.58E-06
1.336	1.49E-06	1.58E-06
1.337	1.49E-06	1.58E-06
1.338	1.48E-06	1.58E-06
1.339	1.48E-06	1.58E-06
1.34	1.48E-06	1.58E-06
1.341	1.48E-06	1.58E-06
1.342	1.48E-06	1.58E-06
1.343	1.48E-06	1.58E-06
1.344	1.48E-06	1.57E-06
1.345	1.48E-06	1.57E-06
1.346	1.47E-06	1.57E-06
1.347	1.47E-06	1.57E-06
1.348	1.47E-06	1.57E-06
1.349	1.47E-06	1.57E-06
1.35	1.47E-06	1.57E-06
1.351	1.47E-06	1.57E-06
1.352	1.47E-06	1.56E-06
1.353	1.47E-06	1.56E-06
1.354	1.47E-06	1.56E-06
1.355	1.46E-06	1.56E-06
1.356	1.46E-06	1.56E-06
1.357	1.46E-06	1.56E-06
1.358	1.46E-06	1.56E-06
1.359	1.46E-06	1.56E-06
1.36	1.46E-06	1.55E-06
1.361	1.46E-06	1.55E-06
1.362	1.46E-06	1.55E-06
1.363	1.46E-06	1.55E-06
1.364	1.45E-06	1.55E-06
1.365	1.45E-06	1.55E-06
1.366	1.45E-06	1.55E-06
1.367	1.45E-06	1.54E-06
1.368	1.45E-06	1.54E-06
1.369	1.45E-06	1.54E-06
1.37	1.45E-06	1.54E-06
1.371	1.45E-06	1.54E-06
1.372	1.45E-06	1.54E-06
1.373	1.45E-06	1.54E-06
1.374	1.44E-06	1.54E-06
1.375	1.44E-06	1.53E-06
1.376	1.44E-06	1.53E-06
1.377	1.44E-06	1.53E-06
1.378	1.44E-06	1.53E-06
1.379	1.44E-06	1.53E-06
1.38	1.44E-06	1.53E-06
1.381	1.44E-06	1.53E-06
1.382	1.44E-06	1.53E-06
1.383	1.44E-06	1.52E-06
1.384	1.43E-06	1.52E-06
1.385	1.43E-06	1.52E-06
1.386	1.43E-06	1.52E-06
1.387	1.43E-06	1.52E-06
1.388	1.43E-06	1.52E-06
1.389	1.43E-06	1.52E-06
1.39	1.43E-06	1.52E-06
1.391	1.43E-06	1.51E-06
1.392	1.43E-06	1.51E-06
1.393	1.43E-06	1.51E-06
1.394	1.43E-06	1.51E-06
1.395	1.42E-06	1.51E-06
1.396	1.42E-06	1.51E-06
1.397	1.42E-06	1.51E-06
1.398	1.42E-06	1.51E-06
1.399	1.42E-06	1.51E-06
1.4	1.42E-06	1.51E-06
1.401	1.42E-06	1.51E-06
1.402	1.42E-06	1.50E-06
1.403	1.42E-06	1.50E-06
1.404	1.42E-06	1.50E-06
1.405	1.42E-06	1.50E-06
1.406	1.41E-06	1.50E-06
1.407	1.41E-06	1.50E-06
1.408	1.41E-06	1.50E-06
1.409	1.41E-06	1.50E-06
1.41	1.41E-06	1.50E-06
1.411	1.41E-06	1.50E-06
1.412	1.41E-06	1.50E-06
1.413	1.41E-06	1.50E-06
1.414	1.41E-06	1.50E-06
1.415	1.41E-06	1.50E-06
1.416	1.41E-06	1.50E-06
1.417	1.41E-06	1.49E-06
1.418	1.40E-06	1.49E-06
1.419	1.40E-06	1.49E-06
1.42	1.40E-06	1.49E-06
1.421	1.40E-06	1.49E-06
1.422	1.40E-06	1.49E-06
1.423	1.40E-06	1.49E-06
1.424	1.40E-06	1.49E-06
1.425	1.40E-06	1.49E-06
1.426	1.40E-06	1.49E-06
1.427	1.40E-06	1.49E-06
1.428	1.40E-06	1.49E-06
1.429	1.40E-06	1.49E-06
1.43	1.39E-06	1.49E-06
1.431	1.39E-06	1.49E-06
1.432	1.39E-06	1.49E-06
1.433	1.39E-06	1.49E-06
1.434	1.39E-06	1.49E-06
1.435	1.39E-06	1.48E-06
1.436	1.39E-06	1.48E-06
1.437	1.39E-06	1.48E-06
1.438	1.39E-06	1.48E-06
1.439	1.39E-06	1.48E-06
1.44	1.39E-06	1.48E-06
1.441	1.39E-06	1.48E-06
1.442	1.39E-06	1.48E-06
1.443	1.38E-06	1.48E-06
1.444	1.38E-06	1.48E-06
1.445	1.38E-06	1.48E-06
1.446	1.38E-06	1.48E-06
1.447	1.38E-06	1.48E-06
